id,name,score
0,,
1,user1,1
2,user2,2
3,user3,3
4,user4,4
5,user5,5
6,user6,6
7,,
8,user8,8
9,user9,9
10,user10,10
11,user11,11
12,user12,12
13,user13,13
14,,
15,user15,15
16,user16,16
17,user17,17
18,user18,18
19,user19,19
20,user20,20
21,,
22,user22,22
23,user23,23
24,user24,24
25,user25,25
26,user26,26
27,user27,27
28,,
29,user29,29
30,user30,30
31,user31,31
32,user32,32
33,user33,33
34,user34,34
35,,
36,user36,36
37,user37,37
38,user38,38
39,user39,39
40,user40,40
41,user41,41
42,,
43,user43,43
44,user44,44
45,user45,45
46,user46,46
47,user47,47
48,user48,48
49,,
